STATUS;ORBITAL_PERIOD_DAYS;TRANSIT_DURATION_HOURS;TRANSIT_DEPTH_PPM;PLANET_RADIUS_REARTH;PLANET_INSOLATION_EFLUX;PLANET_EQ_TEMP_K;STELLAR_TEFF_K;STELLAR_LOGG_CMS2;STELLAR_RADIUS_RSUN
FP;2.1713484;2.0172196;656.8860989;5.8181633;22601.9485814;3127.2040524;10249.0;4.19;2.16986
PC;1.9316462;3.166;1286.0;11.2154;44464.5;4045.0;7070.0;4.03;2.01
FP;1.8675574;1.408;1500.0;23.7529;2860.61;2037.0;8924.0;;5.73
FP;2.74323;3.167;383.41;;1177.36;1631.0;5388.5;4.15;
FP;3.5730141;3.37;755.0;11.3113;54679.3;4260.0;9219.0;4.14;2.15
FP;4.5505945;2.654;3731.0;7.10841;414.775;1257.0;5613.0;;1.09
FP;2.5047918;4.3797563;2270.5402194;8.6950898;1750.932635;1649.8220699;6616.0;;1.53429
PC;6.9989206;3.953;2840.0;14.7752;448.744;1282.0;6596.0;3.71;2.7
FP;2.0483755;2.767;483.0;3.19621;5644.4;;6858.5;4.2;1.57
PC;1.9600277;2.0065257;1707.6272693;;1063.3422958;1456.4246534;8868.7;;
KP;1.4303699;1.6165994;18960.7122944;13.1874503;1281.2408254;1525.9048089;5600.0;4.48851;0.890774
FP;0.6808702;2.4634563;1507.8006889;5.9115908;87140.6995884;4382.0266062;9438.0;;1.0
PC;2.4704981;2.191;250.0;1.44656;575.597;1364.0;5413.7;4.46;0.94
APC;0.884182;1.621;1890.0;24.8132;112144.0;5098.0;8928.0;3.92;2.72
FP;5.4255548;3.9637474;14939.6342222;;273.5880696;1037.2753045;8868.7;;
FP;1.4095184;0.9484999;2841.5103258;;1650.422071;1625.6180218;9307.0;;
FP;1.3730466;2.5708515;1301.5065338;42.1479417;3160.6328329;1912.3318636;4897.0;;6.7996101
FP;12.6889415;7.9201001;3232.8527885;14.0608342;425.1594177;1158.1310368;7601.0;4.31;1.53641
FP;1.10422;2.37;14177.7;21.0448;39459.3;3926.0;6995.2;4.07;1.61
FP;4.95912;2.509;7440.0;22.9123;673.55;1419.0;5889.0;3.86;2.0
PC;5.2341008;3.7078139;20796.9416293;24.2931408;1453.6663847;1574.8381848;7645.0;4.3;1.56203
KP;4.4119378;3.65;15062.0;15.4706;653.252;1408.0;6280.0;4.32092;1.21
FP;3.28892;3.793;10518.9;;29832.6;3661.0;8734.2;4.1;
FP;1.90879;1.909;618.482;3.34688;985.807;1561.0;6022.6;4.52;1.22
FA;3.09574;4.475;380.0;3.4262;18087.9;3230.0;6084.0;4.13;1.41
FP;1.3214483;3.435;2180.0;21.8839;35623.2;3827.0;5050.8;3.56;2.99
FP;18.0157;2.524;610.0;21.644;7.64364;463.0;4709.0;;7.61
PC;9.6837921;2.4006056;4238.2399008;;3176.3106916;1914.698926;8598.7;;
FP;14.2628757;6.9350494;913.2067174;2.4765813;153.2069421;980.3628831;5690.0;4.58;0.853898
PC;3.2834565;1.537;1558.0;2.87648;161.092;992.0;4272.0;4.6;0.68
PC;11.02875;2.715;1694.0;2.76586;15.0463;548.0;4272.0;4.6;0.68
PC;5.0113292;1.024;1210.0;2.52314;17.1793;567.0;4272.0;4.6;0.68
FP;1.01606;2.843;240.0;1.20704;2784.04;2023.0;4634.0;4.64;0.68
FP;36.22214;5.107;7170.0;;;;;;
KP;3.547854;3.494333;10424.3718;14.581841;1212.004376;1504.858953;6351.0;4.22896;1.4
FP;12.1246519;4.612;7279.0;17.6729;207.32;1057.0;4807.6;4.17;1.07
FP;5.652623;3.434;1250.0;8.94354;2717.06;2011.0;6415.4;3.98;1.92
PC;5.6643704;3.8087395;3491.8232968;14.7738943;7657.6621505;2385.8536488;10395.0;4.13;2.3383701
FP;29.0160175;5.345;1389.0;6.77406;33.2234;;6113.1;;2.01
FP;3.6404389;2.5339234;476.3077321;3.7025342;9941.2265514;2783.098027;9810.0;4.43;1.60776
PC;6.0744477;2.4954821;5982.5212406;30.9493217;1487.5644344;1583.9398898;5964.0;3.7;2.4303801
PC;3.7795212;2.952;2761.0;5.98375;466.528;1294.0;5771.0;4.31;1.18
FP;1.2025238;1.991;390.0;6.31106;208477.0;5952.0;9158.0;4.32;1.74
FP;3.2235985;2.159;680.0;5.51341;2064.8;;8904.0;4.09;2.17
APC;4.420125;3.956;2466.0;;;;;;
KP;4.0872956;5.586113;3572.1712499;13.6237732;2242.3605401;1755.0767383;6036.0;3.93359;2.2186699
FP;2.55555;1.566;340.0;11.5901;3520.68;2145.0;10037.0;;6.04
FP;8.30792;3.228;8350.0;43.1068;2276.25;1924.0;9081.0;3.83;3.05
PC;0.758082;1.8184632;583.93181;10.1273702;216218.1005011;5499.7476332;9917.0;3.75;3.5086601
FP;1.4415577;2.349;507.0;3.61078;16861.8;3174.0;6902.0;4.25;1.52
PC;1.0085089;1.642;3051.0;;;;5215.2;;
FP;3.7039994;4.277;7590.0;17.57;3546.13;2149.0;7013.8;4.21;1.9
FP;1.3042553;1.706;914.0;9.36472;26944.7;3569.0;6762.0;4.11;1.75
FP;0.62627;0.666;1880.0;5.72162;3235.57;2101.0;5622.0;4.5;0.93
FP;0.30412;0.748;1330.0;10.417;280833.0;6413.0;11892.0;4.14;2.52
KP;2.1805277;2.969175;16340.1353205;16.808853;1770.4650539;1654.404068;6599.0;4.21017;1.2714601
KP;2.1846669;2.86528;11708.0228549;13.7028527;1362.1381428;1549.4409801;5630.0;4.37759;1.23824
KP;3.7354838;4.142;17030.0;21.2315;1292.19;1670.0;6650.0;4.1639;1.57
FA;21.701669;8.2676424;211.6567325;2.3751494;52.095;685.2;5625.0;4.438;1.56486
CP;9.139804;3.0912936;358.4157801;3.0629855;243.011763;1006.9932829;5958.2;4.34;1.58
