STATUS;ORBITAL_PERIOD_DAYS;TRANSIT_DURATION_HOURS;TRANSIT_DEPTH_PPM;PLANET_RADIUS_REARTH;PLANET_INSOLATION_EFLUX;PLANET_EQ_TEMP_K;STELLAR_TEFF_K;STELLAR_LOGG_CMS2;STELLAR_RADIUS_RSUN
1;9.49;2.96;615.8;2.26;93.59;793.0;5455.0;4.47;0.93
1;54.42;4.51;874.8;2.83;9.11;443.0;5455.0;4.47;0.93
1;19.9;1.78;10829.0;14.6;39.3;638.0;5853.0;4.54;0.87
1;2.53;1.65;603.3;2.75;926.16;1406.0;6031.0;4.44;1.05
1;11.09;4.59;1517.5;3.9;114.81;835.0;6046.0;4.49;0.97
1;4.13;3.14;686.0;2.77;427.65;1160.0;6046.0;4.49;0.97
1;2.57;2.43;226.5;1.59;807.74;1360.0;6046.0;4.49;0.97
1;16.07;3.53;4914.3;5.76;30.75;600.0;5031.0;4.49;0.85
1;2.47;1.74;14231.0;13.04;761.46;1339.0;5820.0;4.46;0.96
1;2.2;3.89;6674.7;16.1;4148.92;2048.0;6440.0;4.02;1.95
1;3.52;3.2;9145.7;14.59;1264.67;1521.0;6225.0;4.17;1.45
1;3.71;2.63;131.1;1.16;500.46;1206.0;5833.0;4.41;1.02
0;19.4;12.22;8918.7;7.18;17.69;523.0;5043.0;4.59;0.68
0;16.47;9.44;10479.0;7.94;29.61;595.0;5152.0;4.52;0.79
1;9.27;3.29;1288.3;2.47;41.85;649.0;4856.0;4.58;0.7
1;6.03;1.58;1912.7;2.85;50.04;678.0;4537.0;4.65;0.67
0;2.7;3.61;397.9;1.58;305.34;1066.0;4989.0;4.5;0.82
1;5.35;3.03;831.0;2.55;168.99;919.0;5185.0;4.44;0.91
1;3.94;2.6;363.3;1.7;253.15;1018.0;5185.0;4.44;0.91
1;8.11;3.6;217.4;1.3;97.03;800.0;5185.0;4.44;0.91
1;21.68;3.46;857.2;2.95;18.64;530.0;4954.0;4.5;0.83
1;5.0;2.17;934.7;2.78;166.95;917.0;5339.0;4.55;0.85
1;4.28;2.88;750.8;2.3;247.87;1012.0;5644.0;4.56;0.83
0;1.51;1.52;2211.7;4.53;1054.12;1452.0;5714.0;4.56;0.83
0;670.65;53.41;18091.0;14.14;0.35;196.0;5520.0;4.47;0.98
1;38.38;5.59;724.2;2.82;18.53;529.0;5481.0;4.37;1.04
1;41.2;4.63;2213.9;3.86;8.76;439.0;5031.0;4.49;0.85
1;6.25;2.58;1036.9;2.65;108.3;823.0;5031.0;4.49;0.85
1;16.01;3.26;1121.9;3.1;29.31;593.0;5015.0;4.5;0.83
1;32.63;4.8;1804.8;3.36;15.55;506.0;5586.0;4.56;0.8
1;91.77;6.47;652.0;2.12;3.92;359.0;5586.0;4.56;0.8
1;4.96;2.23;9802.0;12.21;349.4;1103.0;5712.0;4.36;1.08
0;2.7;3.38;860.4;6.54;527.81;1222.0;5550.0;4.47;0.91
1;4.5;3.74;460.0;2.1;389.62;1133.0;6075.0;4.49;0.97
0;19.65;5.25;11766.0;12.42;67.03;730.0;6074.0;4.39;1.06
1;5.41;2.95;601.6;2.94;337.68;1093.0;5779.0;4.34;1.09
1;41.44;10.6;2793.1;5.5;16.72;516.0;5468.0;4.37;1.05
1;8.35;2.25;1041.6;2.52;91.9;790.0;5592.0;4.58;0.79
1;4.13;3.17;1487.3;4.43;565.35;1243.0;6174.0;4.42;1.1
1;2.82;2.51;16814.0;12.21;521.13;1219.0;5532.0;4.45;0.96
0;33.93;14.56;8503.7;7.34;8.11;430.0;5040.0;4.63;0.7
1;3.69;2.66;426.7;1.89;408.99;1147.0;5880.0;4.52;0.92
1;4.43;3.15;1010.9;3.25;351.23;1104.0;5714.0;4.43;1.01
1;11.38;2.63;1023.5;3.95;99.68;806.0;5714.0;4.43;1.01
1;26.39;3.57;1510.9;3.07;13.49;489.0;5129.0;4.6;0.76
1;13.57;3.35;511.7;2.64;89.61;785.0;5854.0;4.41;1.01
1;7.13;3.0;192.4;1.79;233.31;997.0;5779.0;4.34;1.09
0;7.44;2.31;24446.0;15.03;206.78;967.0;6108.0;4.47;0.96
1;16.38;3.02;1127.1;2.0;8.35;433.0;4126.0;4.66;0.62
1;7.88;2.08;1306.1;2.16;22.18;553.0;4126.0;4.66;0.62
1;36.45;4.01;1122.3;1.99;2.88;332.0;4126.0;4.66;0.62
1;3.73;2.68;5226.5;6.02;258.34;1023.0;5497.0;4.58;0.81
1;40.42;3.36;6256.0;7.51;11.29;467.0;5446.0;4.51;0.78
1;2.24;1.12;821.7;1.99;107.6;822.0;4149.0;4.7;0.56
0;10.41;6.5;14489.0;11.23;113.94;833.0;5746.0;4.39;0.92
1;2.34;2.0;971.2;2.34;311.16;1070.0;5005.0;4.6;0.76
1;7.24;0.56;556.4;19.45;68.63;734.0;5005.0;4.6;0.76
1;3.44;3.13;23.2;0.55;617.61;1272.0;5779.0;4.34;1.09
1;11.6;2.52;2804.5;2.65;5.82;396.0;3688.0;4.79;0.47
1;6.58;4.31;2793.3;5.31;251.38;1015.0;5992.0;4.42;0.99
1;7.28;7.54;3001.0;4.86;113.64;833.0;5485.0;4.56;0.87
1;19.27;2.76;1219.8;1.93;5.66;393.0;4077.0;4.7;0.56
1;10.07;1.37;1053.3;1.91;13.43;488.0;4077.0;4.7;0.56
1;12.39;3.89;916.6;2.66;49.68;677.0;5557.0;4.6;0.75
1;43.84;6.8;615.2;2.87;18.77;531.0;5854.0;4.41;1.01
0;3.34;3.81;725.3;21.55;268.67;1032.0;5295.0;4.55;0.81
1;2.71;3.01;837.5;3.12;960.79;1420.0;6214.0;4.44;1.08
1;7.21;4.05;950.4;3.32;260.58;1025.0;6214.0;4.44;1.08
0;14.18;2.5;459.9;1.88;60.35;711.0;5799.0;4.54;0.88
1;8.47;2.72;1123.5;2.59;75.44;751.0;5354.0;4.59;0.79
1;60.42;5.04;931.3;2.36;5.49;390.0;5354.0;4.59;0.79
1;12.61;5.15;6105.6;7.4;76.15;753.0;5795.0;4.51;0.92
0;10.32;3.84;871.7;28.59;139.26;876.0;5927.0;4.41;1.06
1;2.54;2.43;382.1;2.06;743.09;1332.0;5519.0;4.35;1.06
1;6.77;2.08;1304.0;2.77;102.87;812.0;5653.0;4.66;0.68
0;0.44;2.08;10967.0;27.51;2706.26;1836.0;5255.0;4.68;0.64
1;10.18;3.51;5741.1;7.73;102.91;812.0;5988.0;4.54;0.84
1;20.06;3.32;1494.7;1.96;4.0;361.0;3950.0;4.75;0.49
1;46.18;4.76;1394.7;1.83;1.32;273.0;3950.0;4.75;0.49
1;23.98;5.35;104.0;1.31;41.94;649.0;5854.0;4.41;1.01
1;7.83;2.19;520.8;1.2;14.05;494.0;3950.0;4.75;0.49
1;3.9;2.31;8544.8;7.34;241.62;1005.0;5557.0;4.59;0.77
1;22.37;5.23;986.8;2.32;19.45;536.0;5395.0;4.62;0.73
1;1.63;2.39;7969.0;9.73;1467.41;1579.0;5539.0;4.32;1.11
1;19.62;2.0;21725.0;13.6;40.39;643.0;5710.0;4.49;0.9
0;7.54;6.22;322.6;17.47;116.46;838.0;5657.0;4.57;0.82
1;9.03;3.14;1019.8;2.57;77.75;757.0;5349.0;4.53;0.82
0;10.33;7.79;16918.0;13.28;119.31;843.0;5627.0;4.36;1.02
1;143.21;8.93;10566.0;8.9;2.14;308.0;5485.0;4.56;0.87
1;6.16;3.26;55.8;0.79;256.35;1021.0;5854.0;4.41;1.01
1;60.32;6.62;20280.0;12.19;6.77;411.0;5485.0;4.56;0.87
1;29.16;4.8;488.0;1.91;17.85;524.0;5485.0;4.56;0.87
0;1.54;2.15;816.1;25.69;1105.68;1470.0;5663.0;4.53;0.92
0;2.99;5.41;589.2;1.7;168.45;918.0;4667.0;4.58;0.73
1;1.59;1.96;15044.0;11.3;1329.42;1539.0;5934.0;4.49;0.89
1;4.78;2.34;1008.7;2.5;145.48;886.0;5170.0;4.57;0.81
1;20.51;4.06;2105.5;3.41;17.06;518.0;4905.0;4.54;0.76
1;3.34;1.91;1632.6;2.03;43.73;656.0;3950.0;4.75;0.49
1;18.65;4.41;893.6;3.12;57.13;701.0;5775.0;4.4;1.05
1;4.9;4.17;140.7;1.7;598.74;1262.0;5847.0;4.19;1.4
1;9.75;4.79;418.0;2.76;135.66;870.0;5775.0;4.4;1.05
1;38.56;5.79;993.0;4.02;21.71;550.0;5775.0;4.4;1.05
1;3.53;2.6;22335.0;11.58;213.12;975.0;5150.0;4.57;0.79
1;34.84;2.93;4523.6;7.61;16.1;511.0;5509.0;4.48;0.87
1;7.75;3.6;2472.1;5.52;204.39;964.0;5973.0;4.44;1.08
1;23.97;3.83;1182.3;1.8;2.77;329.0;3747.0;4.73;0.52
1;8.3;1.34;824.3;1.82;11.39;469.0;3747.0;4.73;0.52
1;8.11;2.27;1558.0;2.1;10.55;460.0;3692.0;4.75;0.52
0;38.04;4.35;82872.0;27.5;14.81;500.0;5575.0;4.52;0.93
0;3.75;5.06;616.0;13.65;266.76;1031.0;5514.0;4.57;0.83
1;14.75;6.1;430.2;2.89;137.91;874.0;5847.0;4.19;1.4
1;21.81;4.38;1175.4;3.38;39.33;639.0;5601.0;4.41;1.0
0;7.92;3.31;15148.0;10.34;104.0;814.0;5690.0;4.59;0.78
1;15.38;3.32;15337.0;11.01;30.54;600.0;4986.0;4.5;0.83
1;8.1;3.16;887.9;2.11;52.82;687.0;4861.0;4.57;0.73
1;4.72;2.51;417.5;1.46;108.84;823.0;4861.0;4.57;0.73
1;6.37;2.97;780.7;2.44;165.33;914.0;5776.0;4.55;0.85
0;5.98;3.06;962.4;3.86;284.25;1047.0;6108.0;4.47;1.0
0;2.45;4.72;1177.9;26.25;597.19;1261.0;5764.0;4.55;0.86
1;3.04;1.84;10859.0;8.99;257.29;1021.0;5035.0;4.52;0.79
1;15.34;3.9;3081.4;5.0;32.67;610.0;5251.0;4.58;0.82
1;7.96;4.38;50.0;1.06;314.15;1074.0;5847.0;4.19;1.4
1;31.33;5.18;5073.8;6.5;12.61;481.0;5251.0;4.58;0.82
0;3.9;3.83;16228.0;12.28;351.05;1104.0;5810.0;4.53;0.9
0;9.29;3.5;44791.0;17.61;95.03;796.0;5670.0;4.52;0.82
1;23.65;8.22;3341.8;7.89;67.65;731.0;5739.0;4.19;1.38
1;13.23;6.74;504.6;3.06;146.67;888.0;5739.0;4.19;1.38
1;6.16;4.98;285.0;2.32;406.94;1146.0;5739.0;4.19;1.38
1;2.09;3.39;115.9;1.62;1718.04;1642.0;5739.0;4.19;1.38
1;3.18;3.58;120.3;1.53;1066.86;1458.0;5847.0;4.19;1.4
1;50.45;7.16;370.3;2.67;24.64;568.0;5739.0;4.19;1.38
1;11.76;2.91;1037.3;2.35;33.99;616.0;4959.0;4.6;0.76
